THUNumber,THUName,ClimateRegion,ReclassVegetation,VegetationType1,VegetationType2,MinAge,MaxAge,MinSlope,MaxSlope,Aspect,MinSand,MaxSand,MinSilt,MaxSilt,MinLatitude,MaxLatitude,MinElevation,MaxElevation,NumberLitterNodes,LitterThickness,LitterDryWeight,FractionGroundCoveredLitter,MaxSnowThickness,SnowNodes,InitSnowTemperature,ShawSoilType1,GiplSoilType1,MaxDepth1,Nodes1,InitTemperature1,InitWaterContent1,ShawSoilType2,GiplSoilType2,MaxDepth2,Nodes2,InitTemperature2,InitWaterContent2,ShawSoilType3,GiplSoilType3,MaxDepth3,Nodes3,InitTemperature3,InitWaterContent3,ShawSoilType4,GiplSoilType4,MaxDepth4,Nodes4,InitTemperature4,InitWaterContent4,ShawSoilType5,GiplSoilType5,MaxDepth5,Nodes5,InitTemperature5,InitWaterContent5,ShawSoilType6,GiplSoilType6,MaxDepth6,Nodes6,InitTemperature6,InitWaterContent6,BottomGiplSoilType,BottomGiplMaxDepth,BottomGiplNodes,BottomGiplInitTemperature,BottomGiplWaterContent
,,,,,,,,,,,,,,,,,,,NR,ZRTHIK,RLOAD,COVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,yr,yr,degrees,degrees,enum,percent,percent,percent,percent,degrees,degrees,m,m,,cm,kg/ha,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,YoungConifer_2_high_South,2,BlackSpruce,YoungConifer,,0,40,11,33,South,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,Smith2Organic,liveMoss,0.2,4,-0.2,0.6,Smith2Mineral1,deadMoss,0.5,6,-0.2,0.4,Smith2Mineral2,mineralSoil,1,10,-0.2,0.19,Smith2Mineral2,mineralSoil,3,2,-0.2,0.19,Smith2Mineral2,mineralSoil,6,2,0.1,0.19,,,,,,,mineralSoil,75,36,-0.1,0.08
48,OldConifer_2_high_South,2,BlackSpruce,OldConifer,,41,350,11,33,South,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,Smith2Organic,deadMoss,0.2,4,-0.75,0.6,Smith2Mineral1,mineralSoil,0.5,6,-0.75,0.4,Smith2Mineral2,mineralSoil,1,10,-0.75,0.19,Smith2Mineral2,mineralSoil,3,2,-0.75,0.19,Smith2Mineral2,mineralSoil,6,2,-0.75,0.19,,,,,,,mineralSoil,75,36,-0.75,0.08
49,YoungHardwood_3_high_South,3,BirchAspen,YoungHardwood,,0,40,11,33,South,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,BurnedOrganic,mineralSoil,0.1,2,0.5,0.26,SiltLoam2,mineralSoil,0.4,6,0.5,0.3,BurnedMineral2,mineralSoil,1,6,0.5,0.37,SiltLoam3,mineralSoil,3,2,0.5,0.37,SiltLoam3,mineralSoil,6,2,-0.1,0.37,,,,,,,mineralSoil,75,36,-0.1,0.08
50,OldHardwood_3_high_South,3,BirchAspen,OldHardwood,,41,350,11,33,South,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,SiltLoam1,mineralSoil,0.1,2,0.5,0.48,SiltLoam2,mineralSoil,0.4,6,0.5,0.46,SiltLoam3,mineralSoil,1,6,0.5,0.26,SiltLoam3,mineralSoil,3,2,0.5,0.26,SiltLoam3,mineralSoil,6,2,0.5,0.26,,,,,,,mineralSoil,75,36,0.5,0.08
51,YoungConifer_3_high_South,3,BlackSpruce,YoungConifer,,0,40,11,33,South,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,Smith2Organic,liveMoss,0.2,4,-0.2,0.6,Smith2Mineral1,deadMoss,0.5,6,-0.2,0.4,Smith2Mineral2,mineralSoil,1,10,-0.2,0.19,Smith2Mineral2,mineralSoil,3,2,-0.2,0.19,Smith2Mineral2,mineralSoil,6,2,0.1,0.19,,,,,,,mineralSoil,75,36,-0.1,0.08
52,OldConifer_3_high_South,3,BlackSpruce,OldConifer,,41,350,11,33,South,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,Smith2Organic,deadMoss,0.2,4,-0.75,0.6,Smith2Mineral1,mineralSoil,0.5,6,-0.75,0.4,Smith2Mineral2,mineralSoil,1,10,-0.75,0.19,Smith2Mineral2,mineralSoil,3,2,-0.75,0.19,Smith2Mineral2,mineralSoil,6,2,-0.75,0.19,,,,,,,mineralSoil,75,36,-0.75,0.08
53,YoungHardwood_4_high_South,9,BirchAspen,YoungHardwood,,0,40,11,33,South,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,BurnedOrganic,mineralSoil,0.1,2,0.5,0.26,SiltLoam2,mineralSoil,0.4,6,0.5,0.3,BurnedMineral2,mineralSoil,1,6,0.5,0.37,SiltLoam3,mineralSoil,3,2,0.5,0.37,SiltLoam3,mineralSoil,6,2,-0.1,0.37,,,,,,,mineralSoil,75,36,-0.1,0.08
54,OldHardwood_4_high_South,9,BirchAspen,OldHardwood,,41,350,11,33,South,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,SiltLoam1,mineralSoil,0.1,2,0.5,0.48,SiltLoam2,mineralSoil,0.4,6,0.5,0.46,SiltLoam3,mineralSoil,1,6,0.5,0.26,SiltLoam3,mineralSoil,3,2,0.5,0.26,SiltLoam3,mineralSoil,6,2,0.5,0.26,,,,,,,mineralSoil,75,36,0.5,0.08
55,YoungConifer_4_high_South,9,BlackSpruce,YoungConifer,,0,40,11,33,South,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,Smith2Organic,liveMoss,0.2,4,-0.2,0.6,Smith2Mineral1,deadMoss,0.5,6,-0.2,0.4,Smith2Mineral2,mineralSoil,1,10,-0.2,0.19,Smith2Mineral2,mineralSoil,3,2,-0.2,0.19,Smith2Mineral2,mineralSoil,6,2,0.1,0.19,,,,,,,mineralSoil,75,36,-0.1,0.08
56,OldConifer_4_high_South,9,BlackSpruce,OldConifer,,41,350,11,33,South,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,Smith2Organic,deadMoss,0.2,4,-0.75,0.6,Smith2Mineral1,mineralSoil,0.5,6,-0.75,0.4,Smith2Mineral2,mineralSoil,1,10,-0.75,0.19,Smith2Mineral2,mineralSoil,3,2,-0.75,0.19,Smith2Mineral2,mineralSoil,6,2,-0.75,0.19,,,,,,,mineralSoil,75,36,-0.75,0.08
57,YoungHardwood_5_high_South,10,BirchAspen,YoungHardwood,,0,40,11,33,South,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,BurnedOrganic,mineralSoil,0.1,2,0.5,0.26,SiltLoam2,mineralSoil,0.4,6,0.5,0.3,BurnedMineral2,mineralSoil,1,6,0.5,0.37,SiltLoam3,mineralSoil,3,2,0.5,0.37,SiltLoam3,mineralSoil,6,2,-0.1,0.37,,,,,,,mineralSoil,75,36,-0.1,0.08
58,OldHardwood_5_high_South,10,BirchAspen,OldHardwood,,41,350,11,33,South,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,SiltLoam1,mineralSoil,0.1,2,0.5,0.48,SiltLoam2,mineralSoil,0.4,6,0.5,0.46,SiltLoam3,mineralSoil,1,6,0.5,0.26,SiltLoam3,mineralSoil,3,2,0.5,0.26,SiltLoam3,mineralSoil,6,2,0.5,0.26,,,,,,,mineralSoil,75,36,0.5,0.08
59,YoungConifer_5_high_South,10,BlackSpruce,YoungConifer,,0,40,11,33,South,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,Smith2Organic,liveMoss,0.2,4,-0.2,0.6,Smith2Mineral1,deadMoss,0.5,6,-0.2,0.4,Smith2Mineral2,mineralSoil,1,10,-0.2,0.19,Smith2Mineral2,mineralSoil,3,2,-0.2,0.19,Smith2Mineral2,mineralSoil,6,2,0.1,0.19,,,,,,,mineralSoil,75,36,-0.1,0.08
60,OldConifer_5_high_South,10,BlackSpruce,OldConifer,,41,350,11,33,South,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,Smith2Organic,deadMoss,0.2,4,-0.75,0.6,Smith2Mineral1,mineralSoil,0.5,6,-0.75,0.4,Smith2Mineral2,mineralSoil,1,10,-0.75,0.19,Smith2Mineral2,mineralSoil,3,2,-0.75,0.19,Smith2Mineral2,mineralSoil,6,2,-0.75,0.19,,,,,,,mineralSoil,75,36,-0.75,0.08
61,YoungHardwood_1_high_Other,1,BirchAspen,YoungHardwood,,0,40,11,33,Other,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,BurnedOrganic,mineralSoil,0.1,2,0.2,0.26,SiltLoam2,mineralSoil,0.4,6,0.2,0.3,BurnedMineral2,mineralSoil,1,6,0.2,0.37,SiltLoam3,mineralSoil,3,2,0.2,0.37,SiltLoam3,mineralSoil,6,2,-0.1,0.37,,,,,,,mineralSoil,75,36,-0.1,0.08
62,OldHardwood_1_high_Other,1,BirchAspen,OldHardwood,,41,350,11,33,Other,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,SiltLoam1,mineralSoil,0.1,2,0.2,0.48,SiltLoam2,mineralSoil,0.4,6,0.2,0.46,SiltLoam3,mineralSoil,1,6,0.2,0.26,SiltLoam3,mineralSoil,3,2,0.1,0.26,SiltLoam3,mineralSoil,6,2,0.1,0.26,,,,,,,mineralSoil,75,36,-0.1,0.08
63,YoungConifer_1_high_Other,1,BlackSpruce,YoungConifer,,0,40,11,33,Other,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,Smith2Organic,liveMoss,0.2,4,-0.2,0.6,Smith2Mineral1,deadMoss,0.5,6,-0.2,0.4,Smith2Mineral2,mineralSoil,1,10,-0.2,0.19,Smith2Mineral2,mineralSoil,3,2,-0.2,0.19,Smith2Mineral2,mineralSoil,6,2,0.1,0.19,,,,,,,mineralSoil,75,36,-0.1,0.08
64,OldConifer_1_high_Other,1,BlackSpruce,OldConifer,,41,350,11,33,Other,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,Smith2Organic,deadMoss,0.2,4,-1,0.6,Smith2Mineral1,mineralSoil,0.5,6,-1,0.4,Smith2Mineral2,mineralSoil,1,10,-1,0.19,Smith2Mineral2,mineralSoil,3,2,-1,0.19,Smith2Mineral2,mineralSoil,6,2,-1,0.19,,,,,,,mineralSoil,75,36,-1,0.08
65,YoungHardwood_2_high_Other,2,BirchAspen,YoungHardwood,,0,40,11,33,Other,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,BurnedOrganic,mineralSoil,0.1,2,0.2,0.26,SiltLoam2,mineralSoil,0.4,6,0.2,0.3,BurnedMineral2,mineralSoil,1,6,0.2,0.37,SiltLoam3,mineralSoil,3,2,0.2,0.37,SiltLoam3,mineralSoil,6,2,-0.1,0.37,,,,,,,mineralSoil,75,36,-0.1,0.08
66,OldHardwood_2_high_Other,2,BirchAspen,OldHardwood,,41,350,11,33,Other,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,SiltLoam1,mineralSoil,0.1,2,0.2,0.48,SiltLoam2,mineralSoil,0.4,6,0.2,0.46,SiltLoam3,mineralSoil,1,6,0.2,0.26,SiltLoam3,mineralSoil,3,2,0.1,0.26,SiltLoam3,mineralSoil,6,2,0.1,0.26,,,,,,,mineralSoil,75,36,-0.1,0.08
67,YoungConifer_2_high_Other,2,BlackSpruce,YoungConifer,,0,40,11,33,Other,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,Smith2Organic,liveMoss,0.2,4,-0.2,0.6,Smith2Mineral1,deadMoss,0.5,6,-0.2,0.4,Smith2Mineral2,mineralSoil,1,10,-0.2,0.19,Smith2Mineral2,mineralSoil,3,2,-0.2,0.19,Smith2Mineral2,mineralSoil,6,2,0.1,0.19,,,,,,,mineralSoil,75,36,-0.1,0.08
68,OldConifer_2_high_Other,2,BlackSpruce,OldConifer,,41,350,11,33,Other,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,Smith2Organic,deadMoss,0.2,4,-1,0.6,Smith2Mineral1,mineralSoil,0.5,6,-1,0.4,Smith2Mineral2,mineralSoil,1,10,-1,0.19,Smith2Mineral2,mineralSoil,3,2,-1,0.19,Smith2Mineral2,mineralSoil,6,2,-1,0.19,,,,,,,mineralSoil,75,36,-1,0.08
69,YoungHardwood_3_high_Other,3,BirchAspen,YoungHardwood,,0,40,11,33,Other,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,BurnedOrganic,mineralSoil,0.1,2,0.2,0.26,SiltLoam2,mineralSoil,0.4,6,0.2,0.3,BurnedMineral2,mineralSoil,1,6,0.2,0.37,SiltLoam3,mineralSoil,3,2,0.2,0.37,SiltLoam3,mineralSoil,6,2,-0.1,0.37,,,,,,,mineralSoil,75,36,-0.1,0.08
70,OldHardwood_3_high_Other,3,BirchAspen,OldHardwood,,41,350,11,33,Other,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,SiltLoam1,mineralSoil,0.1,2,0.2,0.48,SiltLoam2,mineralSoil,0.4,6,0.2,0.46,SiltLoam3,mineralSoil,1,6,0.2,0.26,SiltLoam3,mineralSoil,3,2,0.1,0.26,SiltLoam3,mineralSoil,6,2,0.1,0.26,,,,,,,mineralSoil,75,36,-0.1,0.08
71,YoungConifer_3_high_Other,3,BlackSpruce,YoungConifer,,0,40,11,33,Other,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,Smith2Organic,liveMoss,0.2,4,-0.2,0.6,Smith2Mineral1,deadMoss,0.5,6,-0.2,0.4,Smith2Mineral2,mineralSoil,1,10,-0.2,0.19,Smith2Mineral2,mineralSoil,3,2,-0.2,0.19,Smith2Mineral2,mineralSoil,6,2,0.1,0.19,,,,,,,mineralSoil,75,36,-0.1,0.08
72,OldConifer_3_high_Other,3,BlackSpruce,OldConifer,,41,350,11,33,Other,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,Smith2Organic,deadMoss,0.2,4,-1,0.6,Smith2Mineral1,mineralSoil,0.5,6,-1,0.4,Smith2Mineral2,mineralSoil,1,10,-1,0.19,Smith2Mineral2,mineralSoil,3,2,-1,0.19,Smith2Mineral2,mineralSoil,6,2,-1,0.19,,,,,,,mineralSoil,75,36,-1,0.08
73,YoungHardwood_4_high_Other,9,BirchAspen,YoungHardwood,,0,40,11,33,Other,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,BurnedOrganic,mineralSoil,0.1,2,0.2,0.26,SiltLoam2,mineralSoil,0.4,6,0.2,0.3,BurnedMineral2,mineralSoil,1,6,0.2,0.37,SiltLoam3,mineralSoil,3,2,0.2,0.37,SiltLoam3,mineralSoil,6,2,-0.1,0.37,,,,,,,mineralSoil,75,36,-0.1,0.08
74,OldHardwood_4_high_Other,9,BirchAspen,OldHardwood,,41,350,11,33,Other,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,SiltLoam1,mineralSoil,0.1,2,0.2,0.48,SiltLoam2,mineralSoil,0.4,6,0.2,0.46,SiltLoam3,mineralSoil,1,6,0.2,0.26,SiltLoam3,mineralSoil,3,2,0.1,0.26,SiltLoam3,mineralSoil,6,2,0.1,0.26,,,,,,,mineralSoil,75,36,-0.1,0.08
75,YoungConifer_4_high_Other,9,BlackSpruce,YoungConifer,,0,40,11,33,Other,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,Smith2Organic,liveMoss,0.2,4,-0.2,0.6,Smith2Mineral1,deadMoss,0.5,6,-0.2,0.4,Smith2Mineral2,mineralSoil,1,10,-0.2,0.19,Smith2Mineral2,mineralSoil,3,2,-0.2,0.19,Smith2Mineral2,mineralSoil,6,2,0.1,0.19,,,,,,,mineralSoil,75,36,-0.1,0.08
76,OldConifer_4_high_Other,9,BlackSpruce,OldConifer,,41,350,11,33,Other,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,Smith2Organic,deadMoss,0.2,4,-1,0.6,Smith2Mineral1,mineralSoil,0.5,6,-1,0.4,Smith2Mineral2,mineralSoil,1,10,-1,0.19,Smith2Mineral2,mineralSoil,3,2,-1,0.19,Smith2Mineral2,mineralSoil,6,2,-1,0.19,,,,,,,mineralSoil,75,36,-1,0.08
77,YoungHardwood_5_high_Other,10,BirchAspen,YoungHardwood,,0,40,11,33,Other,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,BurnedOrganic,mineralSoil,0.1,2,0.2,0.26,SiltLoam2,mineralSoil,0.4,6,0.2,0.3,BurnedMineral2,mineralSoil,1,6,0.2,0.37,SiltLoam3,mineralSoil,3,2,0.2,0.37,SiltLoam3,mineralSoil,6,2,-0.1,0.37,,,,,,,mineralSoil,75,36,-0.1,0.08
78,OldHardwood_5_high_Other,10,BirchAspen,OldHardwood,,41,350,11,33,Other,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,SiltLoam1,mineralSoil,0.1,2,0.2,0.48,SiltLoam2,mineralSoil,0.4,6,0.2,0.46,SiltLoam3,mineralSoil,1,6,0.2,0.26,SiltLoam3,mineralSoil,3,2,0.1,0.26,SiltLoam3,mineralSoil,6,2,0.1,0.26,,,,,,,mineralSoil,75,36,-0.1,0.08
79,YoungConifer_5_high_Other,10,BlackSpruce,YoungConifer,,0,40,11,33,Other,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,Smith2Organic,liveMoss,0.2,4,-0.2,0.6,Smith2Mineral1,deadMoss,0.5,6,-0.2,0.4,Smith2Mineral2,mineralSoil,1,10,-0.2,0.19,Smith2Mineral2,mineralSoil,3,2,-0.2,0.19,Smith2Mineral2,mineralSoil,6,2,0.1,0.19,,,,,,,mineralSoil,75,36,-0.1,0.08
80,OldConifer_5_high_Other,10,BlackSpruce,OldConifer,,41,350,11,33,Other,0,100,0,100,55,75,0,704,5,5,6000,0.9,0.6,60,3,Smith2Organic,deadMoss,0.2,4,-1,0.6,Smith2Mineral1,mineralSoil,0.5,6,-1,0.4,Smith2Mineral2,mineralSoil,1,10,-1,0.19,Smith2Mineral2,mineralSoil,3,2,-1,0.19,Smith2Mineral2,mineralSoil,6,2,-1,0.19,,,,,,,mineralSoil,75,36,-1,0.08
,,Ranges:,,,,"[0.0, inf)","[0.0, inf)","[0.0, 90.0]",33,"North,South,Other,All","[0.0, 100.0]","[0.0, 100.0]","[0.0, 100.0]","[0.0, 100.0]","[-90.0, 90.0]","[-90.0, 90.0]","[0.0, inf)","[0.0, inf)","[0, inf)","[0.0, inf)","[0.0, inf)","[0.0, 1.0]","[0.0, inf)","[0, inf)","[Abs.Zero, inf)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
