   Loading spin-up weather data from file ncar_climate_formatted_AK_V3_historical_CR910_to1990.csv ...
   Converting raw data from text file: ncar_climate_formatted_AK_V3_historical_CR910_to1990.csv, Format=daily_temp-k_precip-mmday, Temporal=Daily.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2002, actualYear = 1990, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2003, actualYearUsed=1986.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2003, actualYear = 1986, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2004, actualYearUsed=1973.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2004, actualYear = 1973, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2005, actualYearUsed=1986.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2005, actualYear = 1986, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2006, actualYearUsed=1975.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2006, actualYear = 1975, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2007, actualYearUsed=1976.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2007, actualYear = 1976, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2008, actualYearUsed=1974.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2008, actualYear = 1974, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2009, actualYearUsed=1990.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2009, actualYear = 1990, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2010, actualYearUsed=1977.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2010, actualYear = 1977, phase = SpinUp_Climate.
